Country,Year,Happiness Rank,Happiness Score,Economy,Family,Health,Freedom,Trust,Generosity
Yemen,2015,136,4.077,0.54649,0.68093,0.40064,0.35571,0.07854,0.09131
Tanzania,2015,146,3.781,0.2852,1.00268,0.38215,0.32878,0.05747,0.34377
Afghanistan,2015,153,3.575,0.31982,0.30285,0.30335,0.23414,0.09719,0.3651
Rwanda,2015,154,3.465,0.22208,0.7737,0.42864,0.59201,0.55191,0.22628
Burundi,2015,157,2.905,0.0153,0.41587,0.22396,0.1185,0.10062,0.19727
Yemen,2016,147,3.724,0.57939,0.47493,0.31048,0.2287,0.05892,0.09821
Tanzania,2016,149,3.666,0.47155,0.77623,0.357,0.3176,0.05099,0.31472
Rwanda,2016,152,3.515,0.32846,0.61586,0.31865,0.5432,0.50521,0.23552
Afghanistan,2016,154,3.36,0.38227,0.11037,0.17344,0.1643,0.07112,0.31268
Burundi,2016,157,2.905,0.06831,0.23442,0.15747,0.0432,0.09419,0.2029
Afghanistan,2017,141,3.79399991,0.401477218,0.581543326,0.180746779,0.10617952,0.06115783,0.311870933
Yemen,2017,146,3.592999935,0.591683447,0.93538224699999994,0.310080916,0.249463722,0.056767423,0.104125209
Rwanda,2017,151,3.470999956,0.368745893,0.945707023,0.326424807,0.581843853,0.455220014,0.252756029
Tanzania,2017,153,3.348999977,0.511135876,1.041989803,0.364509284,0.390017778,0.066035107,0.354256362
Burundi,2017,154,2.904999971,0.091622569,0.629793584,0.151610792,0.059900753,0.084147945,0.204435185
Afghanistan,2018,145,3.632,0.332,0.537,0.255,0.085,0.036,0.191
Rwanda,2018,151,3.408,0.332,0.896,0.4,0.636,0.444,0.2
Yemen,2018,152,3.355,0.442,1.073,0.343,0.244,0.064,0.083
Tanzania,2018,153,3.303,0.455,0.991,0.381,0.481,0.097,0.27
Burundi,2018,156,2.905,0.091,0.627,0.145,0.065,0.076,0.149
Burundi,2019,145,3.775,0.046,0.447,0.38,0.22,0.18,0.176
Yemen,2019,151,3.38,0.287,1.163,0.463,0.143,0.077,0.108
Rwanda,2019,152,3.334,0.359,0.711,0.614,0.555,0.411,0.217
Tanzania,2019,153,3.231,0.476,0.885,0.499,0.417,0.147,0.276
Afghanistan,2019,154,3.203,0.35,0.517,0.361,0,0.025,0.158
Burundi,2020,140,3.775300026,0,0.403575271,0.295212835,0.275399059,0.212186828,0.187401786
Yemen,2020,146,3.527400017,0.392701775,1.177477121,0.41500017,0.243721485,0.087352127,0.094689012
Tanzania,2020,148,3.476200104,0.457163125,0.872674644,0.442677855,0.509343088,0.203880861,0.27154091
Rwanda,2020,150,3.312299967,0.343242675,0.522876322,0.572383285,0.604087889,0.485542476,0.235704988
Afghanistan,2020,153,2.566900015,0.30070585,0.356433839,0.266051531,0,0.001225785,0.135234714
Burundi,2021,140,3.775,0,0.062,0.155,0.298,0.212,0.172
Yemen,2021,141,3.658,0.329,0.831,0.272,0.268,0.089,0.092
Tanzania,2021,142,3.623,0.433,0.54,0.3,0.549,0.231,0.307
Rwanda,2021,147,3.415,0.364,0.202,0.407,0.627,0.493,0.227
Afghanistan,2021,149,2.523,0.37,0,0.126,0,0.01,0.122
