Country,Year,Happiness Rank,Happiness Score,Economy,Family,Health,Freedom,Trust,Generosity
Venezuela,2015,23,6.81,1.04424,1.25596,0.72052,0.42908,0.11069,0.05841
Zambia,2015,85,5.129,0.47038,0.91612,0.29924,0.48827,0.12468,0.19591
Zimbabwe,2015,115,4.61,0.271,1.03276,0.33475,0.25861,0.08079,0.18987
Haiti,2015,119,4.518,0.26673,0.74302,0.38847,0.24425,0.17175,0.46187
Afghanistan,2015,153,3.575,0.31982,0.30285,0.30335,0.23414,0.09719,0.3651
Venezuela,2016,44,6.084,1.13367,1.03302,0.61904,0.19847,0.08304,0.0425
Zambia,2016,106,4.795,0.61202,0.6376,0.23573,0.42662,0.11479,0.17866
Zimbabwe,2016,131,4.193,0.35041,0.71478,0.1595,0.25429,0.08582,0.18503
Haiti,2016,136,4.028,0.34097,0.29561,0.27494,0.12072,0.14476,0.47958
Afghanistan,2016,154,3.36,0.38227,0.11037,0.17344,0.1643,0.07112,0.31268
Venezuela,2017,82,5.25,1.128431201,1.431337595,0.617144227,0.153997123,0.064491123,0.06501963
Zambia,2017,116,4.513999939,0.636406779,1.003187299,0.257835895,0.461603492,0.07821355,0.249580145
Zimbabwe,2017,138,3.875,0.375846535,1.083095908,0.196763754,0.336384207,0.095375381,0.189143494
Afghanistan,2017,141,3.79399991,0.401477218,0.581543326,0.180746779,0.10617952,0.06115783,0.311870933
Haiti,2017,145,3.602999926,0.368610263,0.640449822,0.27732113,0.030369857,0.09987215,0.489203781
Venezuela,2018,102,4.806,0.996,1.469,0.657,0.133,0.052,0.056
Zambia,2018,125,4.377,0.562,1.047,0.295,0.503,0.082,0.221
Zimbabwe,2018,144,3.692,0.357,1.094,0.248,0.406,0.099,0.132
Afghanistan,2018,145,3.632,0.332,0.537,0.255,0.085,0.036,0.191
Haiti,2018,148,3.582,0.315,0.714,0.289,0.025,0.104,0.392
Venezuela,2019,108,4.707,0.96,1.427,0.805,0.154,0.047,0.064
Zambia,2019,138,4.107,0.578,1.058,0.426,0.431,0.087,0.247
Zimbabwe,2019,146,3.663,0.366,1.114,0.433,0.361,0.089,0.151
Haiti,2019,147,3.597,0.323,0.688,0.449,0.026,0.11,0.419
Afghanistan,2019,154,3.203,0.35,0.517,0.361,0,0.025,0.158
Venezuela,2020,99,5.053199768,0.770238638,1.348546863,0.76702553,0.271717221,0.063624777,0.087179154
Zambia,2020,141,3.759399891,0.536833763,0.896037281,0.36359334,0.49131754,0.086705238,0.250620902
Haiti,2020,142,3.720799923,0.284734428,0.646671355,0.37436673,0.169297516,0.161935672,0.463909656
Zimbabwe,2020,151,3.299200058,0.425564021,1.047835231,0.375037611,0.37740472,0.080928579,0.151349187
Afghanistan,2020,153,2.566900015,0.30070585,0.356433839,0.266051531,0,0.001225785,0.135234714
Venezuela,2021,107,4.892,0.852,0.897,0.574,0.284,0.072,0.078
Zambia,2021,137,4.073,0.528,0.552,0.231,0.487,0.074,0.227
Haiti,2021,143,3.615,0.294,0.173,0.227,0.257,0.139,0.463
Zimbabwe,2021,148,3.145,0.457,0.649,0.243,0.359,0.075,0.157
Afghanistan,2021,149,2.523,0.37,0,0.126,0,0.01,0.122
