Country,Year,Happiness Rank,Happiness Score,Economy,Family,Health,Freedom,Trust,Generosity
Congo (Brazzaville),2015,139,3.989,0.67866,0.6629,0.31051,0.41466,0.11686,0.12388
Guinea,2015,150,3.656,0.17417,0.46475,0.24009,0.37725,0.12139,0.28657
Ivory Coast,2015,151,3.655,0.46534,0.77115,0.15185,0.46866,0.17922,0.20165
Benin,2015,155,3.34,0.28665,0.35386,0.3191,0.4845,0.0801,0.1826
Togo,2015,158,2.839,0.20868,0.13995,0.28443,0.36453,0.10731,0.16681000000000001
Congo (Brazzaville),2016,127,4.236,0.77109,0.47799,0.28212,0.37938,0.09753,0.12077
Ivory Coast,2016,139,3.916,0.55507,0.57576,0.04476,0.40663,0.1553,0.20338
Guinea,2016,151,3.607,0.22415,0.3109,0.18829,0.30953,0.1192,0.29914
Benin,2016,153,3.484,0.39499,0.10419,0.21028,0.39747,0.06681,0.2018
Togo,2016,155,3.303,0.28123,0,0.24811,0.34678,0.11587,0.17517
Congo (Brazzaville),2017,124,4.290999889,0.808964252,0.832044363,0.289957434,0.435025871,0.079618134,0.120852128
Ivory Coast,2017,128,4.179999828,0.603048921,0.90478003,0.04864217,0.447706193,0.130061775,0.20123747
Benin,2017,143,3.657000065,0.431085408,0.435299844,0.209930211,0.425962776,0.060929015,0.207948461
Guinea,2017,149,3.506999969,0.24454993,0.791244686,0.194129139,0.348587513,0.110937618,0.264815092
Togo,2017,150,3.494999886,0.305444717,0.43188253,0.247105569,0.380426139,0.095665015,0.196896151
Ivory Coast,2018,107,4.671,0.541,0.872,0.08,0.467,0.103,0.146
Congo (Brazzaville),2018,114,4.559,0.682,0.811,0.343,0.514,0.077,0.091
Benin,2018,136,4.141,0.378,0.372,0.24,0.44,0.067,0.163
Togo,2018,139,3.999,0.259,0.474,0.253,0.434,0.101,0.158
Guinea,2018,140,3.964,0.344,0.792,0.211,0.394,0.094,0.185
Ivory Coast,2019,99,4.944,0.569,0.808,0.232,0.352,0.09,0.154
Benin,2019,102,4.883,0.393,0.437,0.397,0.349,0.082,0.175
Congo (Brazzaville),2019,103,4.812,0.673,0.799,0.508,0.372,0.093,0.105
Guinea,2019,118,4.534,0.38,0.829,0.375,0.332,0.086,0.207
Togo,2019,139,4.085,0.275,0.572,0.41,0.293,0.085,0.177
Ivory Coast,2020,85,5.233300209,0.537094414,0.799727261,0.154942513,0.397122532,0.093495794,0.169915587
Benin,2020,86,5.21600008,0.366244704,0.352428436,0.328062952,0.40583989,0.125931874,0.196670428
Congo (Brazzaville),2020,88,5.194399834,0.633616745,0.757636011,0.458101124,0.386514395,0.118670784,0.117216013
Guinea,2020,102,4.949299812,0.390007734,0.75136596,0.333655238,0.371878058,0.112204559,0.249490842
Togo,2020,135,4.187200069,0.268116266,0.547622859,0.342731178,0.303539038,0.114826456,0.200774252
Congo (Brazzaville),2021,83,5.342,0.518,0.392,0.307,0.381,0.124,0.144
Ivory Coast,2021,85,5.306,0.669,0.409,0.052,0.438,0.092,0.177
Benin,2021,99,5.045,0.507,0.058,0.196,0.457,0.178,0.166
Guinea,2021,102,4.984,0.42,0.399,0.206,0.384,0.111,0.25
Togo,2021,136,4.107,0.254,0.239,0.203,0.289,0.107,0.209
