Country,Period,Gender,Happiness_Rank,Happiness_Score,Economy_GDP_per_Capita,Family,Healthy_Life_Expectancy,Trust_Government_Corruption,Generosity,Region,adolBirthRate,alcoholPerCapita,popUsingSanitationPct,suicidePer100K,lifeExpectancy,infantMortalityPer1000,lifeExpectancyAtBirth,medicalDoctorsPer10000,tobaccoSmokingAbove15,iso_code,year,coal_prod_per_capita,energy_per_capita,fossil_energy_per_capita,gas_energy_per_capita,hydro_energy_per_capita,low_carbon_energy_per_capita,nuclear_energy_per_capita,oil_energy_per_capita,renewables_energy_per_capita,solar_energy_per_capita
Afghanistan,2015,Total,153,3.575,0.31982,0.30285,0.30335,0.09719,0.3651,Southern Asia,,0.21,40.71,4.8,52.6,53.17,61.65,2.85,,AFG,2015,230.278,956.51,,,,,,,,
Afghanistan,2016,Total,154,3.36,0.38227,0.11037,0.17344,0.07112,0.31268,Southern Asia,,,42.05,0,,51.32,,2.78,,AFG,2016,278.61,1010.014,,,,,,,,
Afghanistan,2017,Total,141,3.79399991,0.401477218,0.581543326,0.180746779,0.06115783,0.311870933,,62,,43.42,,,49.61,,,,AFG,2017,,,,,,,,,,
Afghanistan,2018,Total,145,3.632,0.332,,0.255,0.036,0.191,,,0.21,,,,48.04,,,,AFG,2018,,,,,,,,,,
Afghanistan,2019,Total,154,3.203,0.35,,0.361,0.025,0.158,,,,,,53.95,46.51,63.21,,,AFG,2019,,,,,,,,,,
Afghanistan,2020,Total,153,2.566900015,7.462860584,,52.59000015,0.933686554,-0.0964294,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,2021,Total,149,2.523,7.695,,52.493,0.924,-0.102,,,,,,,,,,,,,,,,,,,,,,
Albania,2015,Total,95,4.959,0.87867,0.80434,0.81325,0.06413,0.14272,Central and Eastern Europe,20.2,6.74,97.69,6,69.03,8.51,77.84,,29.9,ALB,2015,0,11651.654,,,,,,,,
Albania,2016,Total,109,4.655,0.9553,0.50163,0.73007,0.05301,0.1684,Central and Eastern Europe,17.3,,97.7,0,,8.38,,12.16,29.7,ALB,2016,0,13668.121,,,,,,,,
Albania,2017,Total,109,4.644000053,0.996192753,0.803685248,0.731159747,0.039864216,0.201312944,,15.9,,97.72,,,8.38,,,29.3,ALB,2017,,,,,,,,,,
